INFO - Tue Sep 10 2019 11:49:28 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:49:28 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:49:29 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:49:30 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:49:31 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:49:32 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,49], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:52:09 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,24], Window URL: https://www.youtube.com/watch?v=80AlC3LaPqQ&list=RDMM12wctGs-4pI&index=18 
INFO - Tue Sep 10 2019 11:56:34 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=GhKm_SdHsLs&list=RDMM12wctGs-4pI&index=19 
INFO - Tue Sep 10 2019 11:56:34 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=GhKm_SdHsLs&list=RDMM12wctGs-4pI&index=19 
INFO - Tue Sep 10 2019 11:56:34 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=GhKm_SdHsLs&list=RDMM12wctGs-4pI&index=19 
INFO - Tue Sep 10 2019 11:56:36 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=GhKm_SdHsLs&list=RDMM12wctGs-4pI&index=19 
